# Этот файл описывает даты заливки базы. Формат записей:
#  День_недели  Дата  Время  GMT  всего_вопросов  разных_вопросов

# Пнд Ноя  1 20:49:17 EST 2004
# Втр Ноя  2 20:23:30 EST 2004
# Срд Ноя  3 22:34:24 EST 2004
# Птн Ноя  5 21:23:33 EST 2004
Tue 2004-11-09 01:28:17 GMT  119817 115056
Fri 2004-11-12 03:10:34 GMT  119818 115055
Mon 2004-11-15 03:23:58 GMT  119818 115055
Wed 2004-12-01 03:02:16 GMT  120782 115904
Tue 2004-12-14 03:02:58 GMT  121689 116810
Wed 2004-12-15 02:56:23 GMT  121689 116810
Sun 2004-12-19 05:48:54 GMT  121689 116810
Tue 2004-12-28 01:35:46 GMT  121900 117020
Sat 2005-01-01 04:10:42 GMT  121900 117020
Wed 2005-01-05 03:23:58 GMT  121900 117021
Tue 2005-01-18 03:24:55 GMT  122936 118038
Thu 2005-01-27 05:29:20 GMT  123718 118807
Mon 2005-01-31 00:23:16 GMT  124003 119082
Tue 2005-02-01 03:47:13 GMT  124003 119082
Tue 2005-02-08 04:20:10 GMT  124003 119082
Wed 2005-02-09 01:20:29 GMT  124003 119082
Thu 2005-02-10 05:27:31 GMT  124003 119082
Wed 2005-02-23 02:11:46 GMT  124977 120034
Sat 2005-02-26 03:42:21 GMT  125382 120400
Mon 2005-02-28 00:00:23 GMT  125438 120456
Tue 2005-03-01 02:23:56 GMT  125438 120456
Tue 2005-03-15 01:16:40 GMT  125751 120767
Tue 2005-03-29 03:32:34 GMT  126049 121065
Tue 2005-03-29 04:15:41 GMT  126049 121065
Sun 2005-04-03 05:52:17 GMT  126151 121167
Tue 2005-04-05 00:33:46 GMT  126371 121387
Thu 2005-04-21 04:51:33 GMT  127232 122246
Sat 2005-04-23 02:51:45 GMT  127424 122438
Thu 2005-04-28 04:56:32 GMT  128043 123057
Tue 2005-05-17 03:29:48 GMT  129035 123982
Wed 2005-05-18 01:58:35 GMT  129035 123982
Thu 2005-05-19 01:29:55 GMT  129035 123982
Sun 2005-05-22 05:14:45 GMT  129083 124030
Tue 2005-05-24 02:46:07 GMT  129131 124078
Sun 2005-05-29 03:32:46 GMT  129167 124114
Sat 2005-06-04 02:23:59 GMT  129167 124114
Mon 2005-06-06 04:57:02 GMT  129638 124585
Wed 2005-06-15 14:53:18 GMT  129638 124585
Fri 2005-06-17 09:56:57 GMT  129638 124585
Sun 2005-06-26 14:00:56 GMT  131058 125951
Wed 2005-07-06 03:32:04 GMT  131689 126563
Thu 2005-07-21 01:22:42 GMT  133694 128550
Thu 2005-07-21 23:49:23 GMT  133694 128549
Sat 2005-07-23 01:25:57 GMT  133694 128549
Tue 2005-07-26 00:44:50 GMT  134037 128887
Thu 2005-07-28 01:55:39 GMT  134296 129147
Mon 2005-08-01 02:17:25 GMT  134463 129303
Tue 2005-08-02 00:04:21 GMT  134463 129303
Sat 2005-08-13 23:11:15 GMT  134493 129333
Tue 2005-08-16 02:03:58 GMT  134511 129351
Sat 2005-08-20 00:47:14 GMT  134485 129339
Tue 2005-08-23 01:23:28 GMT  135013 129838
Tue 2005-08-30 03:32:01 GMT  135330 130144
Sat 2005-09-03 01:01:57 GMT  135330 130144
